,account,currency,long_lat,txn_description,first_name,balance,date,gender,age,amount,country,customer_id,movement,month,time,Longitude,Latitude
3908,ACC-819621312,AUD,145.04 -37.85,POS,Michele,4401.37,2018-08-31,F,30,118.3,Australia,CUS-1271030853,debit,August,20:05:56,145.04,-37.85
3909,ACC-4258502723,AUD,145.45 -37.74,POS,Kimberly,2128.6,2018-08-31,F,24,18.24,Australia,CUS-3378712515,debit,August,20:14:57,145.45,-37.74
3910,ACC-2173390920,AUD,144.71 -37.58,POS,Luis,4087.22,2018-08-31,M,27,38.01,Australia,CUS-3180318393,debit,August,20:23:57,144.71,-37.58
3911,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4850.39,2018-08-31,F,20,8.61,Australia,CUS-127297539,debit,August,20:32:58,115.79,-31.79
3912,ACC-1496451953,AUD,145.16 -37.84,SALES-POS,Ricky,8385.32,2018-08-31,M,43,62.52,Australia,CUS-3142625864,debit,August,20:41:58,145.16,-37.84
3913,ACC-819621312,AUD,145.04 -37.85,SALES-POS,Michele,4377.1,2018-08-31,F,30,24.27,Australia,CUS-1271030853,debit,August,20:50:59,145.04,-37.85
3914,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2883.01,2018-08-31,F,21,30.59,Australia,CUS-809013380,debit,August,20:59:59,114.62,-28.80
3915,ACC-3689607373,AUD,115.79 -31.79,PAYMENT,Virginia,4781.39,2018-08-31,F,20,69.0,Australia,CUS-127297539,debit,August,21:00:00,115.79,-31.79
3916,ACC-721712940,AUD,145.09 -37.82,PAYMENT,Andrew,53135.8,2018-08-31,M,78,38.0,Australia,CUS-1646183815,debit,August,21:00:00,145.09,-37.82
3917,ACC-2681137560,AUD,151.11 -33.99,PAYMENT,Nathaniel,5238.36,2018-08-31,M,31,29.0,Australia,CUS-2083971310,debit,August,21:00:00,151.11,-33.99
3918,ACC-2171593283,AUD,146.94 -36.04,PAYMENT,Fernando,8690.47,2018-08-31,M,19,50.0,Australia,CUS-2317998716,debit,August,21:00:00,146.94,-36.04
3919,ACC-1903037542,AUD,153.05 -27.61,PAYMENT,Jeffrey,3311.65,2018-08-31,M,30,23.0,Australia,CUS-860700529,debit,August,21:00:00,153.05,-27.61
3920,ACC-2173390920,AUD,144.71 -37.58,SALES-POS,Luis,4063.98,2018-08-31,M,27,23.24,Australia,CUS-3180318393,debit,August,21:04:57,144.71,-37.58
3921,ACC-1424176027,AUD,151.08 -33.93,POS,Donald,3724.19,2018-08-31,M,22,14.21,Australia,CUS-3431016847,debit,August,21:09:54,151.08,-33.93
3922,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2857.6,2018-08-31,F,21,25.41,Australia,CUS-809013380,debit,August,21:14:51,114.62,-28.80
3923,ACC-2305712452,AUD,138.61 -34.89,SALES-POS,Debra,2390.88,2018-08-31,F,18,18.04,Australia,CUS-1842679196,debit,August,21:19:48,138.61,-34.89
3924,ACC-1990648130,AUD,114.62 -28.80,SALES-POS,Kaitlyn,2848.73,2018-08-31,F,21,8.87,Australia,CUS-809013380,debit,August,21:24:45,114.62,-28.80
3925,ACC-3084464802,AUD,145.15 -37.76,SALES-POS,Susan,4854.94,2018-08-31,F,19,177.15,Australia,CUS-1928710999,debit,August,21:29:42,145.15,-37.76
3926,ACC-1903037542,AUD,153.05 -27.61,SALES-POS,Jeffrey,3341.52,2018-08-31,M,30,20.5,Australia,CUS-860700529,debit,August,21:34:39,153.05,-27.61
3927,ACC-1443681913,AUD,150.92 -33.77,POS,Ryan,2835.43,2018-08-31,M,31,98.93,Australia,CUS-3129499595,debit,August,21:39:36,150.92,-33.77
3928,ACC-1903037542,AUD,153.05 -27.61,SALES-POS,Jeffrey,3334.65,2018-08-31,M,30,6.87,Australia,CUS-860700529,debit,August,21:44:33,153.05,-27.61
3929,ACC-958000567,AUD,130.90 -12.37,POS,Sandra,4603.58,2018-08-31,F,34,11.82,Australia,CUS-4142663097,debit,August,21:49:30,130.90,-12.37
3930,ACC-819621312,AUD,145.04 -37.85,POS,Michele,4358.99,2018-08-31,F,30,18.11,Australia,CUS-1271030853,debit,August,21:54:27,145.04,-37.85
3931,ACC-3485804958,AUD,138.52 -35.01,SALES-POS,Jessica,21024.68,2018-08-31,F,34,390.67,Australia,CUS-1196156254,debit,August,21:59:24,138.52,-35.01
3932,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2394.0,2018-08-31,M,20,132.58,Australia,CUS-3325710106,debit,August,22:09:09,145.04,-37.92
3933,ACC-2270192619,AUD,138.56 -35.27,POS,Darren,9052.86,2018-08-31,M,20,13.31,Australia,CUS-2110742437,debit,August,22:19:34,138.56,-35.27
3934,ACC-3771436525,AUD,145.04 -37.92,SALES-POS,Derek,2379.55,2018-08-31,M,20,14.45,Australia,CUS-3325710106,debit,August,22:29:59,145.04,-37.92
3935,ACC-2681137560,AUD,151.11 -33.99,POS,Nathaniel,5220.17,2018-08-31,M,31,18.19,Australia,CUS-2083971310,debit,August,22:40:24,151.11,-33.99
3936,ACC-1903037542,AUD,153.05 -27.61,SALES-POS,Jeffrey,3302.72,2018-08-31,M,30,8.93,Australia,CUS-860700529,debit,August,22:50:49,153.05,-27.61
3937,ACC-3541460373,AUD,145.00 -37.83,PAYMENT,Jeffrey,3211.68,2018-08-31,M,24,41.0,Australia,CUS-1433879684,debit,August,23:00:00,145.00,-37.83
3938,ACC-588564840,AUD,151.27 -33.76,SALES-POS,Isaiah,12624.72,2018-08-31,M,23,21.86,Australia,CUS-1462656821,debit,August,23:01:41,151.27,-33.76
3939,ACC-2265520058,AUD,151.27 -33.85,SALES-POS,Catherine,3295.8,2018-08-31,F,26,43.57,Australia,CUS-331942311,debit,August,23:15:46,151.27,-33.85
3940,ACC-1903037542,AUD,153.05 -27.61,SALES-POS,Jeffrey,3288.26,2018-08-31,M,30,14.46,Australia,CUS-860700529,debit,August,23:29:51,153.05,-27.61
3941,ACC-2231965366,AUD,144.96 -37.84,POS,Linda,10213.95,2018-08-31,F,35,11.06,Australia,CUS-2155701614,debit,August,23:43:56,144.96,-37.84
3942,ACC-2270192619,AUD,138.56 -35.27,POS,Darren,9045.27,2018-08-31,M,20,7.59,Australia,CUS-2110742437,debit,August,23:58:01,138.56,-35.27
3943,ACC-1903037542,AUD,153.05 -27.61,POS,Jeffrey,3279.11,2018-09-01,M,30,9.15,Australia,CUS-860700529,debit,September,00:35:49,153.05,-27.61
3944,ACC-2897221629,AUD,150.90 -34.37,POS,Scott,2810.78,2018-09-01,M,23,85.84,Australia,CUS-511326734,debit,September,01:08:04,150.90,-34.37
3945,ACC-2681137560,AUD,151.11 -33.99,POS,Nathaniel,5204.51,2018-09-01,M,31,15.66,Australia,CUS-2083971310,debit,September,01:27:18,151.11,-33.99
3946,ACC-3541460373,AUD,145.00 -37.83,SALES-POS,Jeffrey,3196.81,2018-09-01,M,24,14.87,Australia,CUS-1433879684,debit,September,01:46:32,145.00,-37.83
3947,ACC-3481401842,AUD,115.74 -31.72,PAYMENT,Tiffany,4280.38,2018-09-01,F,25,26.0,Australia,CUS-1669695324,debit,September,02:00:00,115.74,-31.72
3948,ACC-1608363396,AUD,151.22 -33.87,PAYMENT,Robert,4314.87,2018-09-01,M,20,163.0,Australia,CUS-2688605418,debit,September,02:00:00,151.22,-33.87
3949,ACC-3100725361,AUD,145.73 -17.03,POS,Ronald,214.7,2018-09-01,M,25,22.35,Australia,CUS-2178051368,debit,September,02:07:29,145.73,-17.03
3950,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2357.03,2018-09-01,M,20,22.52,Australia,CUS-3325710106,debit,September,02:32:29,145.04,-37.92
3951,ACC-819621312,AUD,145.04 -37.85,SALES-POS,Michele,4331.53,2018-09-01,F,30,27.46,Australia,CUS-1271030853,debit,September,02:57:29,145.04,-37.85
3952,ACC-3100725361,AUD,145.73 -17.03,SALES-POS,Ronald,201.01,2018-09-01,M,25,13.69,Australia,CUS-2178051368,debit,September,03:56:14,145.73,-17.03
3953,ACC-964839203,AUD,146.92 -36.07,PAYMENT,Michael,34425.2,2018-09-01,M,21,28.0,Australia,CUS-2059096722,debit,September,04:00:00,146.92,-36.07
3954,ACC-958000567,AUD,130.90 -12.37,POS,Sandra,4597.62,2018-09-01,F,34,5.96,Australia,CUS-4142663097,debit,September,04:20:26,130.90,-12.37
3955,ACC-90814749,AUD,151.68 -32.98,SALES-POS,Christopher,9104.68,2018-09-01,M,35,14.13,Australia,CUS-1896554896,debit,September,04:42:10,151.68,-32.98
3956,ACC-2681137560,AUD,151.11 -33.99,PAYMENT,Nathaniel,5178.51,2018-09-01,M,31,26.0,Australia,CUS-2083971310,debit,September,05:00:00,151.11,-33.99
3957,ACC-1652235822,AUD,144.89 -37.81,PAYMENT,Renee,21012.41,2018-09-01,F,38,45.0,Australia,CUS-2206365095,debit,September,05:00:00,144.89,-37.81
3958,ACC-1650504218,AUD,145.01 -37.93,PAYMENT,Marissa,7132.0,2018-09-01,F,23,43.0,Australia,CUS-2500783281,debit,September,05:00:00,145.01,-37.93
3959,ACC-4281711154,AUD,144.98 -37.84,PAYMENT,Eric,36012.74,2018-09-01,M,42,37.0,Australia,CUS-3151318058,debit,September,05:00:00,144.98,-37.84
3960,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2354.05,2018-09-01,M,20,2.98,Australia,CUS-3325710106,debit,September,05:22:29,145.04,-37.92
3961,ACC-588564840,AUD,151.27 -33.76,SALES-POS,Isaiah,12592.28,2018-09-01,M,23,32.44,Australia,CUS-1462656821,debit,September,06:46:39,151.27,-33.76
3962,ACC-90814749,AUD,151.68 -32.98,POS,Christopher,9029.89,2018-09-01,M,35,74.79,Australia,CUS-1896554896,debit,September,07:28:34,151.68,-32.98
3963,ACC-588564840,AUD,151.27 -33.76,POS,Isaiah,12439.1,2018-09-01,M,23,153.18,Australia,CUS-1462656821,debit,September,08:02:13,151.27,-33.76
3964,ACC-3084464802,AUD,145.15 -37.76,SALES-POS,Susan,4840.71,2018-09-01,F,19,14.23,Australia,CUS-1928710999,debit,September,08:20:44,145.15,-37.76
3965,ACC-1056639002,AUD,145.03 -37.91,SALES-POS,Michael,45927.92,2018-09-01,M,22,20.55,Australia,CUS-3462882033,debit,September,08:39:15,145.03,-37.91
3966,ACC-819621312,AUD,145.04 -37.85,POS,Michele,4252.8,2018-09-01,F,30,78.73,Australia,CUS-1271030853,debit,September,08:57:46,145.04,-37.85
3967,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2340.36,2018-09-01,M,20,13.69,Australia,CUS-3325710106,debit,September,09:08:27,145.04,-37.92
3968,ACC-3100725361,AUD,145.73 -17.03,SALES-POS,Ronald,194.57,2018-09-01,M,25,6.44,Australia,CUS-2178051368,debit,September,09:18:04,145.73,-17.03
3969,ACC-182446574,AUD,116.06 -32.00,POS,Tonya,5302.85,2018-09-01,F,27,38.29,Australia,CUS-3026014945,debit,September,09:27:41,116.06,-32.00
3970,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2324.52,2018-09-01,M,20,15.84,Australia,CUS-3325710106,debit,September,09:37:18,145.04,-37.92
3971,ACC-819621312,AUD,145.04 -37.85,POS,Michele,4195.03,2018-09-01,F,30,57.77,Australia,CUS-1271030853,debit,September,09:46:55,145.04,-37.85
3972,ACC-1443681913,AUD,150.92 -33.77,POS,Ryan,2796.97,2018-09-01,M,31,38.46,Australia,CUS-3129499595,debit,September,09:56:32,150.92,-33.77
3973,ACC-1243371644,AUD,150.90 -33.78,PAYMENT,Gregory,2808.07,2018-09-01,M,42,150.0,Australia,CUS-3904958894,debit,September,10:00:00,150.90,-33.78
3974,ACC-574997646,AUD,150.79 -33.64,PAYMENT,Mackenzie,3146.24,2018-09-01,F,18,45.0,Australia,CUS-586638664,debit,September,10:00:00,150.79,-33.64
3975,ACC-3084464802,AUD,145.15 -37.76,SALES-POS,Susan,4807.85,2018-09-01,F,19,32.86,Australia,CUS-1928710999,debit,September,10:06:39,145.15,-37.76
3976,ACC-3771436525,AUD,145.04 -37.92,SALES-POS,Derek,2295.76,2018-09-01,M,20,28.76,Australia,CUS-3325710106,debit,September,10:17:04,145.04,-37.92
3977,ACC-2249586092,AUD,115.98 -32.07,SALES-POS,Edward,6460.27,2018-09-01,M,19,10.29,Australia,CUS-443776336,debit,September,10:27:29,115.98,-32.07
3978,ACC-2173390920,AUD,144.71 -37.58,SALES-POS,Luis,4036.27,2018-09-01,M,27,27.71,Australia,CUS-3180318393,debit,September,10:37:54,144.71,-37.58
3979,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4773.01,2018-09-01,F,20,8.38,Australia,CUS-127297539,debit,September,10:48:19,115.79,-31.79
3980,ACC-3485804958,AUD,138.52 -35.01,POS,Jessica,20934.77,2018-09-01,F,34,89.91,Australia,CUS-1196156254,debit,September,10:58:44,138.52,-35.01
3981,ACC-2901672282,AUD,255.00 -573.00,PAYMENT,Daniel,5829.7,2018-09-01,M,22,95.0,Australia,CUS-1617121891,debit,September,11:00:00,255.00,-573.00
3982,ACC-2681137560,AUD,151.11 -33.99,PAYMENT,Nathaniel,5161.51,2018-09-01,M,31,17.0,Australia,CUS-2083971310,debit,September,11:00:00,151.11,-33.99
3983,ACC-90814749,AUD,151.68 -32.98,SALES-POS,Christopher,9019.95,2018-09-01,M,35,9.94,Australia,CUS-1896554896,debit,September,11:06:14,151.68,-32.98
3984,ACC-1279356312,AUD,144.79 -37.73,SALES-POS,Tyler,5085.49,2018-09-01,M,44,364.69,Australia,CUS-1892177589,debit,September,11:13:19,144.79,-37.73
3985,ACC-1279356312,AUD,144.79 -37.73,POS,Tyler,5074.21,2018-09-01,M,44,11.28,Australia,CUS-1892177589,debit,September,11:20:25,144.79,-37.73
3986,ACC-3689607373,AUD,115.79 -31.79,POS,Virginia,4749.58,2018-09-01,F,20,23.43,Australia,CUS-127297539,debit,September,11:27:31,115.79,-31.79
3987,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4729.3,2018-09-01,F,20,20.28,Australia,CUS-127297539,debit,September,11:34:36,115.79,-31.79
3988,ACC-1056639002,AUD,145.03 -37.91,POS,Michael,45878.53,2018-09-01,M,22,49.39,Australia,CUS-3462882033,debit,September,11:41:42,145.03,-37.91
3989,ACC-854938045,AUD,147.63 -22.84,POS,James,9634.57,2018-09-01,M,28,13.52,Australia,CUS-4023861240,debit,September,11:48:47,147.63,-22.84
3990,ACC-958000567,AUD,130.90 -12.37,POS,Sandra,4539.43,2018-09-01,F,34,58.19,Australia,CUS-4142663097,debit,September,11:55:53,130.90,-12.37
3991,ACC-1998563091,AUD,149.03 -35.25,PAYMENT,David,16151.11,2018-09-01,M,42,45.0,Australia,CUS-3395687666,debit,September,12:00:00,149.03,-35.25
3992,ACC-3879258709,AUD,143.83 -37.66,PAYMENT,Natasha,192816.49,2018-09-01,F,40,170.0,Australia,CUS-527400765,debit,September,12:00:00,143.83,-37.66
3993,ACC-3485804958,AUD,138.52 -35.01,SALES-POS,Jessica,20917.9,2018-09-01,F,34,16.87,Australia,CUS-1196156254,debit,September,12:06:46,138.52,-35.01
3994,ACC-4065652575,AUD,115.81 -31.82,POS,Lucas,7871.19,2018-09-01,M,21,10.79,Australia,CUS-1117979751,debit,September,12:22:54,115.81,-31.82
3995,ACC-37709441,AUD,153.41 -28.01,SALES-POS,Charles,6808.64,2018-09-01,M,18,13.39,Australia,CUS-3336454548,debit,September,12:39:01,153.41,-28.01
3996,ACC-958000567,AUD,130.90 -12.37,SALES-POS,Sandra,4524.73,2018-09-01,F,34,14.7,Australia,CUS-4142663097,debit,September,12:55:09,130.90,-12.37
3997,ACC-90814749,AUD,151.68 -32.98,INTER BANK,Christopher,8975.95,2018-09-01,M,35,44.0,Australia,CUS-1896554896,debit,September,13:00:00,151.68,-32.98
3998,ACC-2920611728,AUD,144.96 -37.76,SALES-POS,Tyler,4913.34,2018-09-01,M,69,22.83,Australia,CUS-1388323263,debit,September,13:11:51,144.96,-37.76
3999,ACC-3541460373,AUD,145.00 -37.83,POS,Jeffrey,3164.66,2018-09-01,M,24,32.15,Australia,CUS-1433879684,debit,September,13:28:48,145.00,-37.83
4000,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4702.8,2018-09-01,F,20,26.5,Australia,CUS-127297539,debit,September,13:45:45,115.79,-31.79
4001,ACC-37709441,AUD,153.41 -28.01,INTER BANK,Charles,6763.64,2018-09-01,M,18,45.0,Australia,CUS-3336454548,debit,September,14:00:00,153.41,-28.01
4002,ACC-1998563091,AUD,149.03 -35.25,SALES-POS,David,16111.86,2018-09-01,M,42,39.25,Australia,CUS-3395687666,debit,September,14:01:11,149.03,-35.25
4003,ACC-1890605467,AUD,143.88 -37.66,POS,Alexander,11432.95,2018-09-01,M,38,43.12,Australia,CUS-1478398256,debit,September,14:08:35,143.88,-37.66
4004,ACC-3084464802,AUD,145.15 -37.76,SALES-POS,Susan,4774.82,2018-09-01,F,19,33.03,Australia,CUS-1928710999,debit,September,14:15:59,145.15,-37.76
4005,ACC-3536132544,AUD,144.93 -37.79,SALES-POS,Heather,2719.71,2018-09-01,F,41,20.4,Australia,CUS-2348881191,debit,September,14:23:24,144.93,-37.79
4006,ACC-182446574,AUD,116.06 -32.00,POS,Tonya,5277.81,2018-09-01,F,27,25.04,Australia,CUS-3026014945,debit,September,14:30:48,116.06,-32.00
4007,ACC-2897221629,AUD,150.90 -34.37,SALES-POS,Scott,2786.8,2018-09-01,M,23,23.98,Australia,CUS-511326734,debit,September,14:45:37,150.90,-34.37
4008,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4679.94,2018-09-01,F,20,22.86,Australia,CUS-127297539,debit,September,14:53:02,115.79,-31.79
4009,ACC-2681137560,AUD,151.11 -33.99,POS,Nathaniel,5152.68,2018-09-01,M,31,8.83,Australia,CUS-2083971310,debit,September,15:00:34,151.11,-33.99
4010,ACC-1222300524,AUD,151.23 -33.94,SALES-POS,Michael,1933.66,2018-09-01,M,38,10.07,Australia,CUS-2142601169,debit,September,15:10:17,151.23,-33.94
4011,ACC-1890605467,AUD,143.88 -37.66,POS,Alexander,11405.36,2018-09-01,M,38,27.59,Australia,CUS-1478398256,debit,September,15:19:59,143.88,-37.66
4012,ACC-3771436525,AUD,145.04 -37.92,POS,Derek,2274.42,2018-09-01,M,20,21.34,Australia,CUS-3325710106,debit,September,15:29:42,145.04,-37.92
4013,ACC-182446574,AUD,116.06 -32.00,POS,Tonya,5266.35,2018-09-01,F,27,11.46,Australia,CUS-3026014945,debit,September,15:39:25,116.06,-32.00
4014,ACC-90814749,AUD,151.68 -32.98,SALES-POS,Christopher,8949.92,2018-09-01,M,35,26.03,Australia,CUS-1896554896,debit,September,15:49:07,151.68,-32.98
4015,ACC-4258502723,AUD,145.45 -37.74,POS,Kimberly,2109.94,2018-09-01,F,24,18.66,Australia,CUS-3378712515,debit,September,15:58:50,145.45,-37.74
4016,ACC-2920611728,AUD,144.96 -37.76,PAYMENT,Tyler,4896.34,2018-09-01,M,69,17.0,Australia,CUS-1388323263,debit,September,16:00:00,144.96,-37.76
4017,ACC-37709441,AUD,153.41 -28.01,PHONE BANK,Charles,6742.64,2018-09-01,M,18,21.0,Australia,CUS-3336454548,debit,September,16:00:00,153.41,-28.01
4018,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2803.56,2018-09-01,F,21,45.17,Australia,CUS-809013380,debit,September,16:13:44,114.62,-28.80
4019,ACC-1222300524,AUD,151.23 -33.94,SALES-POS,Michael,1924.92,2018-09-01,M,38,8.74,Australia,CUS-2142601169,debit,September,16:29:22,151.23,-33.94
4020,ACC-1443681913,AUD,150.92 -33.77,POS,Ryan,2753.79,2018-09-01,M,31,43.18,Australia,CUS-3129499595,debit,September,16:44:59,150.92,-33.77
4021,ACC-854938045,AUD,147.63 -22.84,PAYMENT,James,9585.57,2018-09-01,M,28,49.0,Australia,CUS-4023861240,debit,September,17:00:00,147.63,-22.84
4022,ACC-958000567,AUD,130.90 -12.37,PAYMENT,Sandra,4356.73,2018-09-01,F,34,168.0,Australia,CUS-4142663097,debit,September,17:00:00,130.90,-12.37
4023,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2797.18,2018-09-01,F,21,6.38,Australia,CUS-809013380,debit,September,17:00:19,114.62,-28.80
4024,ACC-1222300524,AUD,151.23 -33.94,POS,Michael,1907.97,2018-09-01,M,38,16.95,Australia,CUS-2142601169,debit,September,17:08:23,151.23,-33.94
4025,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2784.33,2018-09-01,F,21,12.85,Australia,CUS-809013380,debit,September,17:16:27,114.62,-28.80
4026,ACC-37709441,AUD,153.41 -28.01,POS,Charles,6719.55,2018-09-01,M,18,23.09,Australia,CUS-3336454548,debit,September,17:24:30,153.41,-28.01
4027,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4494.16,2018-09-01,F,20,185.78,Australia,CUS-127297539,debit,September,17:32:34,115.79,-31.79
4028,ACC-2897221629,AUD,150.90 -34.37,SALES-POS,Scott,2773.11,2018-09-01,M,23,13.69,Australia,CUS-511326734,debit,September,17:40:38,150.90,-34.37
4029,ACC-3100725361,AUD,145.73 -17.03,SALES-POS,Ronald,187.74,2018-09-01,M,25,6.83,Australia,CUS-2178051368,debit,September,17:48:42,145.73,-17.03
4030,ACC-3879258709,AUD,143.83 -37.66,SALES-POS,Natasha,192790.29,2018-09-01,F,40,26.2,Australia,CUS-527400765,debit,September,17:56:46,143.83,-37.66
4031,ACC-958000567,AUD,130.90 -12.37,PAYMENT,Sandra,4259.66,2018-09-01,F,34,17.0,Australia,CUS-4142663097,debit,September,18:00:00,130.90,-12.37
4032,ACC-3741880913,AUD,150.50 -23.40,POS,Ashley,8228.63,2018-09-01,F,25,10.77,Australia,CUS-1220154422,debit,September,18:12:29,150.50,-23.40
4033,ACC-80388494,AUD,144.97 -37.42,POS,Dustin,4053.45,2018-09-01,M,28,21.07,Australia,CUS-1140341822,debit,September,18:33:19,144.97,-37.42
4034,ACC-958000567,AUD,130.90 -12.37,POS,Sandra,4276.66,2018-09-01,F,34,80.07,Australia,CUS-4142663097,debit,September,18:54:09,130.90,-12.37
4035,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,1582.75,2018-09-01,F,26,2.4,Australia,CUS-2487424745,debit,September,19:07:34,153.41,-27.95
4036,ACC-2897221629,AUD,150.90 -34.37,POS,Scott,2766.06,2018-09-01,M,23,7.05,Australia,CUS-511326734,debit,September,19:18:06,150.90,-34.37
4037,ACC-2249586092,AUD,115.98 -32.07,POS,Edward,6456.82,2018-09-01,M,19,3.45,Australia,CUS-443776336,debit,September,19:28:37,115.98,-32.07
4038,ACC-240804743,AUD,121.48 -30.75,POS,Kenneth,7570.06,2018-09-01,M,29,17.24,Australia,CUS-261674136,debit,September,19:39:09,121.48,-30.75
4039,ACC-1516130869,AUD,130.84 -12.45,SALES-POS,Jessica,1162.11,2018-09-01,F,21,31.75,Australia,CUS-325142416,debit,September,19:49:41,130.84,-12.45
4040,ACC-4258502723,AUD,145.45 -37.74,INTER BANK,Kimberly,2081.94,2018-09-01,F,24,28.0,Australia,CUS-3378712515,debit,September,20:00:00,145.45,-37.74
4041,ACC-1056639002,AUD,145.03 -37.91,POS,Michael,45870.67,2018-09-01,M,22,7.86,Australia,CUS-3462882033,debit,September,20:00:08,145.03,-37.91
4042,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2746.54,2018-09-01,F,21,37.79,Australia,CUS-809013380,debit,September,20:06:53,114.62,-28.80
4043,ACC-958000567,AUD,130.90 -12.37,SALES-POS,Sandra,4221.61,2018-09-01,F,34,38.05,Australia,CUS-4142663097,debit,September,20:13:38,130.90,-12.37
4044,ACC-240804743,AUD,121.48 -30.75,SALES-POS,Kenneth,7513.89,2018-09-01,M,29,56.17,Australia,CUS-261674136,debit,September,20:20:24,121.48,-30.75
4045,ACC-1990648130,AUD,114.62 -28.80,POS,Kaitlyn,2734.94,2018-09-01,F,21,11.6,Australia,CUS-809013380,debit,September,20:27:09,114.62,-28.80
4046,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,Diana,1557.87,2018-09-01,F,26,24.88,Australia,CUS-2487424745,debit,September,20:33:55,153.41,-27.95
4047,ACC-1443681913,AUD,150.92 -33.77,POS,Ryan,2744.9,2018-09-01,M,31,8.89,Australia,CUS-3129499595,debit,September,20:40:40,150.92,-33.77
4048,ACC-3689607373,AUD,115.79 -31.79,SALES-POS,Virginia,4448.08,2018-09-01,F,20,46.08,Australia,CUS-127297539,debit,September,20:47:25,115.79,-31.79
4049,ACC-90814749,AUD,151.68 -32.98,SALES-POS,Christopher,8910.95,2018-09-01,M,35,38.97,Australia,CUS-1896554896,debit,September,20:54:11,151.68,-32.98
4050,ACC-1344825761,AUD,151.09 -33.91,PAYMENT,Sarah,17645.18,2018-09-01,F,46,28.0,Australia,CUS-1499065773,debit,September,21:00:00,151.09,-33.91
4051,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,Diana,1543.1,2018-09-01,F,26,14.77,Australia,CUS-2487424745,debit,September,21:00:36,153.41,-27.95
4052,ACC-3100725361,AUD,145.73 -17.03,POS,Ronald,172.35,2018-09-01,M,25,15.39,Australia,CUS-2178051368,debit,September,21:04:58,145.73,-17.03
4053,ACC-2173390920,AUD,144.71 -37.58,SALES-POS,Luis,3989.03,2018-09-01,M,27,47.24,Australia,CUS-3180318393,debit,September,21:09:20,144.71,-37.58
4054,ACC-2249586092,AUD,115.98 -32.07,SALES-POS,Edward,6361.94,2018-09-01,M,19,94.88,Australia,CUS-443776336,debit,September,21:13:42,115.98,-32.07
4055,ACC-182446574,AUD,116.06 -32.00,POS,Tonya,5228.94,2018-09-01,F,27,37.41,Australia,CUS-3026014945,debit,September,21:18:04,116.06,-32.00
4056,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,1472.88,2018-09-01,F,26,70.22,Australia,CUS-2487424745,debit,September,21:22:26,153.41,-27.95
4057,ACC-3771436525,AUD,145.04 -37.92,SALES-POS,Derek,2175.45,2018-09-01,M,20,98.97,Australia,CUS-3325710106,debit,September,21:26:48,145.04,-37.92
4058,ACC-1903037542,AUD,153.05 -27.61,SALES-POS,Jeffrey,3258.94,2018-09-01,M,30,20.17,Australia,CUS-860700529,debit,September,21:31:10,153.05,-27.61
4059,ACC-354106658,AUD,151.04 -33.80,SALES-POS,Christine,6743.77,2018-09-01,F,39,773.99,Australia,CUS-2376382098,debit,September,21:35:32,151.04,-33.80
4060,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,Michelle,6707.13,2018-09-01,F,19,94.22,Australia,CUS-883482547,debit,September,21:39:54,150.82,-34.01
4061,ACC-3954677887,AUD,115.72 -32.28,POS,Ruth,3779.96,2018-09-01,F,47,13.41,Australia,CUS-3716701010,debit,September,21:44:16,115.72,-32.28
4062,ACC-354106658,AUD,151.04 -33.80,SALES-POS,Christine,6693.5,2018-09-01,F,39,50.27,Australia,CUS-2376382098,debit,September,21:48:38,151.04,-33.80
4063,ACC-958000567,AUD,130.90 -12.37,SALES-POS,Sandra,4206.22,2018-09-01,F,34,15.39,Australia,CUS-4142663097,debit,September,21:53:00,130.90,-12.37
4064,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,Michelle,6694.37,2018-09-01,F,19,12.76,Australia,CUS-883482547,debit,September,21:57:22,150.82,-34.01
4065,ACC-1890605467,AUD,143.88 -37.66,PAYMENT,Alexander,10559.36,2018-09-01,M,38,846.0,Australia,CUS-1478398256,debit,September,22:00:00,143.88,-37.66
